"sa1_maincode_2016","sa3","global_pr","sa3_pr"
21301134032,21301,0.000162045315425156,0.00702171601364484
21301134035,21301,0.000176545349551735,0.00765002866531185
21301134039,21301,0.000107991460498572,0.00467946491097391
21302134104,21302,0.000103330789685386,0.00740062593104921
21302134106,21302,0.000103957553089053,0.00744551517956781
21302134111,21302,9.20442165296458e-05,0.00659227339427509
21302134115,21302,8.3400174740333e-05,0.00597318086619284
21302134118,21302,9.40707297496025e-05,0.0067374137375444
21302134119,21302,9.77706321605646e-05,0.0070024034255966
21302134123,21302,0.000124657330805086,0.00892804823867492
21302134128,21302,0.000111684402967667,0.0079989177592936
21302134134,21302,9.07564787970219e-05,0.0065000446860124
21302134204,21302,5.70011049481506e-05,0.00408246038438436
21302134217,21302,8.0722941786661e-05,0.00578143550471123
21302134225,21302,8.57038376953996e-05,0.00613817087404598
21302134242,21302,7.62063807013534e-05,0.00545795613143956
21302134301,21302,0.00019767856784212,0.0141578820759943
21302134302,21302,0.00019115009570466,0.0136903081772781
21302134303,21302,0.000259230172862678,0.0185662525684659
21302134305,21302,0.000236592641983425,0.0169449362255828
21302134306,21302,0.000207569914567581,0.0148663074861971
21302134308,21302,0.000255789552813968,0.018319832870824
21302134309,21302,0.000167246043862447,0.0119782826865289
21302134312,21302,0.000245199596089026,0.0175613725069197
21302134315,21302,0.000202628993472103,0.0145124351419152
21302134316,21302,0.000194862388987177,0.0139561853085175
21302134320,21302,0.000217135912721464,0.0155514311962698
21302134325,21302,0.000205034028443044,0.0146846854869016
21302134326,21302,0.000215452660869275,0.015430875480556
21302134327,21302,0.00020437172919085,0.0146372511351965
21302134329,21302,0.000181489154939408,0.0129983846086753
21302134330,21302,0.000194544735892236,0.013933434763993
21302134401,21302,0.000346779267411928,0.0248365820736772
21302134403,21302,0.000373350027302705,0.026739599124588
21302134404,21302,0.000223944341146613,0.0160390557668965
21302134412,21302,0.00033869324465677,0.0242574552726232
21302134413,21302,0.000510714544819646,0.0365777452709317
21302134414,21302,0.000237104126027023,0.0169815690829131
21302134418,21302,0.000514942613355693,0.036880562599062
21302134421,21302,0.000358002353723442,0.0256403876367265
21302134423,21302,0.000440152587180312,0.0315240468036964
21302134424,21302,0.000765114157493412,0.054798029623105
21302134438,21302,0.000355426561187761,0.0254559075113872
21302134440,21302,0.000327296229843451,0.0234411928244138
21302134442,21302,0.000414542184514469,0.0296898112321835
21302134504,21302,7.44028152163355e-05,0.00532878346627937
21302134604,21302,0.000393728076097808,0.0281990897255637
21302134605,21302,0.000359352700946143,0.0257371004819749
21302134606,21302,0.000340981300592202,0.0244213274944363
21302134609,21302,0.000369448596183936,0.0264601758046494
21302134610,21302,0.000341956281676726,0.0244911563452404
21302134611,21302,0.000292264395569545,0.0209321875034533
21302134613,21302,0.000308493377815247,0.022094518955751
21302134614,21302,0.000267800472202111,0.0191800636089251
21302134615,21302,0.000239067888997846,0.0171222152079312
21302134622,21302,0.00024631185171199,0.0176410330595035
21302134625,21302,0.000202795247280321,0.0145243423599669
21302134629,21302,0.000167493416825479,0.011995999717149
21302134632,21302,0.000358342528655314,0.0256647512115097
21302134633,21302,0.000216655258636107,0.0155170064028584
21303134701,21303,0.000153132629193318,0.0096129729236058
21303134705,21303,0.000123056394453176,0.00772492312178334
21303134708,21303,0.000151651066205354,0.0095199671092151
21303134711,21303,0.000151130909372089,0.00948731401901123
21303134713,21303,0.000226488171849713,0.014217901664574
21303134717,21303,0.000124282242334671,0.00780187629992275
21303134724,21303,0.000186228870652545,0.0116906050696524
21303134727,21303,0.000132186474250296,0.00829806818134654
21303134730,21303,0.000139813012255775,0.00877682769676613
21303134738,21303,0.000179426388995149,0.0112635760796171
21303134803,21303,0.00025960744732805,0.0162969797820193
21303134804,21303,0.00024883188452595,0.0156205387517903
21303134807,21303,0.000335124185800198,0.0210375786082521
21303134809,21303,0.000515668663772263,0.0323713432500188
21303134810,21303,0.000403348818031898,0.0253204120306336
21303134811,21303,0.00042899859789266,0.0269305890425275
21303134815,21303,0.000324691676157461,0.0203826729016813
21303134816,21303,0.000387897290917908,0.0243504351383304
21303134817,21303,0.000461893768777057,0.0289955988885342
21303134821,21303,0.000259159683792579,0.016268871215182
21303134823,21303,0.000315632769465984,0.0198139957673476
21303134825,21303,0.000373599701821852,0.0234528972486118
21303134826,21303,0.000468159189827321,0.0293889136459994
21303134827,21303,0.000458256482893742,0.0287672665540349
21303134829,21303,0.000311716542272451,0.0195681527607171
21303134831,21303,0.000402013140031292,0.0252365642150366
21303134832,21303,0.000299955247004309,0.018829831910649
21303134833,21303,0.000360930677019262,0.022657593249475
21303134836,21303,0.000345671817072907,0.021699711129367
21303134904,21303,0.000207227089184324,0.013008778128218
21303134905,21303,0.000186196376617382,0.0116885652412902
21303134916,21303,0.000272932926527009,0.0171334930150805
21303134919,21303,0.000195980565928116,0.0123027723336584
21303135002,21303,0.000341187731781963,0.0214182205632084
21303135016,21303,0.000340263214038574,0.0213601835264161
21303135018,21303,0.000357895814346191,0.0224670783157422
21303135019,21303,0.000344104429993743,0.0216013176672278
21303135106,21303,0.000222110114945329,0.0139430670803214
21303135109,21303,0.000202173924753733,0.0126915633510298
21303135111,21303,0.000163594416178232,0.0102697165291214
21303135114,21303,0.000144777441444326,0.00908847207734065
21303135123,21303,0.000216096872519721,0.013565582954796
21303135127,21303,0.00020571184347803,0.0129136578653194
21303135203,21303,0.000382709385573793,0.0240247619368323
21303135205,21303,0.00033690063531679,0.02114909606337
21303135207,21303,0.00033676142394024,0.021140357003638
21303135213,21303,0.000313172637791656,0.0196595598427612
21303135215,21303,0.000315536091853541,0.019807926784691
21303135216,21303,0.000277531509668701,0.0174221712377487
21303135219,21303,0.000197295899356468,0.0123853430091497
21303135222,21303,0.000207380526488172,0.0130184102272365
21303135225,21303,0.000351338672863954,0.0220554506707586
21303135227,21303,0.000439698369213689,0.0276022722268342
21303135228,21303,0.000265831971739924,0.0166877272337471
21303135231,21303,0.000419573423402911,0.0263389192746439
21303135232,21303,0.000157251828243155,0.00987155758411624
21304135301,21304,7.58043881321203e-05,0.00681965020642487
21304135302,21304,6.70946703992352e-05,0.00603609097194561
21304135303,21304,5.11581148490777e-05,0.00460237800327274
21304135304,21304,7.39126456941558e-05,0.00664946188322276
21304135305,21304,5.06172797716849e-05,0.00455372242886516
21304135306,21304,3.15790266887699e-05,0.00284096898851576
21304135307,21304,5.61612284761891e-05,0.00505247707696265
21304135308,21304,5.61382468170714e-05,0.00505040955976202
21304135310,21304,5.20954196131338e-06,0.000468670149410466
21304135312,21304,7.99269353078487e-05,0.00719053018304247
21304135313,21304,8.08512301248911e-05,0.00727368324970735
21304135314,21304,8.06957229725433e-05,0.00725969323659939
21304135315,21304,6.78763553930182e-05,0.00610641431813397
21304135322,21304,8.12311905099512e-05,0.00730786592675623
